date,close_price,sentiment_score,sentiment_label,concordance,active_pillars,fng_raw,taker_ratio,dist_50dma_pct,vol_ratio,fwd_return_7d,fwd_return_14d,fwd_return_30d
2024-11-19,87168.44000000,67.4,Greed,False,4,90,0.9287,31.92,0.84,0.51,4.52,8.15
2024-11-20,89331.86000000,67.1,Greed,False,4,83,0.9521,33.80,0.89,1.63,4.98,5.37
2024-11-21,93406.68000000,71.9,Greed,False,4,82,0.9775,38.31,1.47,-2.99,-1.81,0.14
2024-11-22,94396.99000000,71.0,Greed,False,4,94,0.9738,38.17,1.08,-2.45,-0.06,-3.23
2024-11-23,93205.20000000,73.7,Greed,False,4,93,0.9839,34.98,0.54,-2.33,1.25,-2.21
2024-11-24,93417.04000000,66.0,Greed,False,4,80,0.9940,33.86,0.68,-1.49,2.38,1.57
2024-11-25,88904.13000000,68.3,Greed,False,4,82,0.9817,26.25,0.86,2.64,3.84,7.53
2024-11-26,87609.69000000,63.2,Neutral,False,4,79,0.9694,23.33,1.61,3.99,5.04,4.81
2024-11-27,90783.86000000,63.9,Neutral,False,4,75,0.9784,26.58,0.80,3.30,5.80,-0.41
2024-11-28,90617.18000000,71.6,Greed,False,4,77,0.9711,25.12,0.40,1.22,5.29,0.66
2024-11-29,92081.58000000,62.1,Neutral,False,4,78,0.9761,25.86,0.48,2.46,4.85,-2.66
2024-11-30,91030.87000000,73.4,Greed,False,4,84,0.9737,23.28,0.26,3.67,5.92,-2.21
2024-12-01,92024.64000000,62.7,Neutral,False,4,81,0.9739,23.47,0.39,3.93,7.73,-1.98
2024-12-02,91246.94000000,67.6,Greed,False,4,80,0.9761,21.33,0.89,1.18,10.20,-0.07
2024-12-03,91108.07000000,66.7,Greed,False,4,76,0.9779,20.16,0.87,1.01,11.02,3.50
2024-12-04,93780.93000000,67.2,Greed,False,4,78,0.9790,22.65,1.09,2.42,3.22,1.26
2024-12-05,91718.54000000,61.5,Neutral,False,4,84,0.9839,19.03,2.56,4.02,2.78,3.76
2024-12-06,94343.16000000,66.0,Greed,False,4,72,0.9851,21.42,0.96,2.34,-0.23,1.12
2024-12-07,94374.45000000,62.2,Neutral,False,4,75,0.9938,20.49,0.33,2.17,-0.89,4.33
2024-12-08,95637.29000000,63.7,Neutral,False,4,79,1.0039,21.09,0.38,3.66,-4.48,-1.90
2024-12-09,92320.74000000,68.8,Greed,False,4,78,1.0105,16.03,1.06,8.92,-1.27,-0.10
2024-12-10,92027.32000000,60.5,Neutral,False,4,78,1.0206,14.81,1.27,9.91,3.10,-2.16
2024-12-11,96049.13000000,67.4,Greed,False,4,74,1.0027,18.83,1.05,0.78,-0.47,-3.63
