date,close_price,sentiment_score,sentiment_label,concordance,active_pillars,fng_raw,taker_ratio,dist_50dma_pct,vol_ratio,fwd_return_7d,fwd_return_14d,fwd_return_30d
2025-02-03,101328.52000000,54.6,Neutral,False,4,44,0.9482,2.16,2.21,-3.85,-5.48,-10.58
2025-02-04,97763.13000000,53.7,Neutral,False,4,72,0.9405,-1.27,1.17,-2.03,-2.14,-8.01
2025-02-05,96612.43000000,49.1,Neutral,False,4,54,0.8989,-2.25,0.76,1.30,0.03,-10.15
2025-02-06,96554.35000000,46.2,Neutral,False,4,49,0.8733,-2.23,0.70,0.06,1.81,-10.70
2025-02-07,96506.80000000,42.2,Neutral,False,4,44,0.8696,-2.26,0.94,1.03,-0.34,-16.34
2025-02-08,96444.74000000,46.7,Neutral,False,4,44,0.8606,-2.30,0.31,1.17,0.11,-18.51
2025-02-09,96462.75000000,37.8,Neutral,False,4,46,0.8713,-2.26,0.50,-0.36,-0.21,-14.03
2025-02-10,97430.82000000,38.9,Neutral,False,4,43,0.8599,-1.33,0.76,-1.69,-6.03,-14.11
2025-02-11,95778.20000000,44.5,Neutral,False,4,47,0.8532,-3.02,0.69,-0.11,-7.41,-15.31
2025-02-12,97869.99000000,43.3,Neutral,False,4,46,0.8783,-0.88,1.13,-1.25,-13.92,-14.19
2025-02-13,96608.14000000,45.7,Neutral,False,4,50,0.8613,-2.11,0.78,1.76,-12.32,-12.70
2025-02-14,97500.48000000,40.9,Neutral,False,4,48,0.8717,-1.24,0.70,-1.35,-13.49,-15.31
2025-02-15,97569.66000000,40.4,Neutral,False,4,50,0.8957,-1.23,0.28,-1.04,-11.79,-13.90
2025-02-16,96118.12000000,50.8,Neutral,False,4,54,0.8868,-2.72,0.34,0.15,-1.92,-13.94
2025-02-17,95780.00000000,48.2,Neutral,False,4,51,0.8966,-3.10,0.70,-4.41,-9.98,-9.33
2025-02-18,95671.74000000,45.6,Neutral,False,4,47,0.9113,-3.26,0.99,-7.31,-8.77,-11.97
2025-02-19,96644.37000000,41.2,Neutral,False,4,44,0.8931,-2.34,0.70,-12.82,-6.25,-12.99
2025-02-20,98305.00000000,43.9,Neutral,False,4,49,0.9161,-0.74,0.74,-13.83,-8.52,-14.71
2025-02-21,96181.98000000,43.3,Neutral,False,4,55,0.9032,-2.87,1.33,-12.30,-9.75,-10.50
2025-02-22,96551.01000000,40.0,Neutral,False,4,49,0.8941,-2.46,0.49,-10.86,-10.70,-9.38
